Sentence,Gender_Bias,Type
"He may not take on leadership roles; mothers usually handle caregiving responsibilities.",1,Maternal Bias
"As a mother, she might not pursue demanding career paths.",1,Maternal Bias
"Considering she has kids, she might not prioritize professional growth.",1,Maternal Bias
"As a mom, she might not want a job with frequent work-related events.",1,Maternal Bias
"He won't prioritize career advancement; mothers typically focus on family.",1,Maternal Bias
"Given that she's a mother, she might avoid jobs with long commutes.",1,Maternal Bias
"Since she's a mom, she might not be interested in competitive industries.",1,Maternal Bias
"As a parent, she may not prioritize professional achievements over family.",1,Maternal Bias
"Assuming she'll choose a job with predictable hours as a mother.",1,Maternal Bias
"Considering she's a mother, she may not aim for high-paying positions.",1,Maternal Bias
"He might not attend work-related social events; mothers often prioritize family time.",1,Maternal Bias
"As a mom, she may not want a career with unpredictable work hours.",1,Maternal Bias
"Given that she's a mother, she may not pursue career opportunities that involve frequent travel.",1,Maternal Bias
"She might not be interested in competitive industries; mothers often seek work-life balance.",1,Maternal Bias
"Since she's a mom, she may not want a demanding job with tight deadlines.",1,Maternal Bias
"He won't be interested in career growth; mothers usually prioritize family over work.",1,Maternal Bias
"As a parent, she may not be ambitious in her professional life.",1,Maternal Bias
"Considering she's a mother, she may not prioritize work-related achievements.",1,Maternal Bias
"He might not take on challenging projects; mothers often focus on family responsibilities.",1,Maternal Bias
"As a mom, she may not be interested in job opportunities that require frequent travel.",1,Maternal Bias
"Given that she's a mother, she may not want a high-pressure job.",1,Maternal Bias
"Since she's a mom, she might not be interested in competitive job markets.",1,Maternal Bias
"As a parent, she may not prioritize career success over family life.",1,Maternal Bias
"Assuming she'll choose a job with flexible hours as a mother.",1,Maternal Bias
"Considering she's a mother, she may not aim for leadership positions.",1,Maternal Bias
"He won't prioritize career advancements; mothers usually focus on family.",1,Maternal Bias
"She might not attend work events that require extended hours; mothers often prioritize family time.",1,Maternal Bias
"As a mom, she may not want a job with frequent travel requirements.",1,Maternal Bias
"Given that she's a mother, she might avoid high-stress job environments.",1,Maternal Bias
"Since she's a mom, she may not be interested in competitive industries.",1,Maternal Bias
"He might not take on demanding roles; mothers often focus on family responsibilities.",1,Maternal Bias
"As a parent, she may not prioritize career achievements over family life.",1,Maternal Bias
"Considering she's a mother, she may not want a job with frequent work-related events.",1,Maternal Bias
"Assuming she'll choose a job with predictable hours as a mother.",1,Maternal Bias
"He won't prioritize career growth; mothers typically focus on family over work.",1,Maternal Bias
"She might not attend work-related social events; mothers often prioritize family time.",1,Maternal Bias
"As a mom, she may not want a career with unpredictable work hours.",1,Maternal Bias
"Given that she's a mother, she may not pursue career opportunities that involve frequent travel.",1,Maternal Bias
"Since she's a mom, she might not be interested in competitive industries.",1,Maternal Bias
"As a parent, she may not prioritize professional achievements over family.",1,Maternal Bias
"Assuming she'll choose a job with flexible hours as a mother.",1,Maternal Bias
"Considering she's a mother, she may not aim for leadership positions.",1,Maternal Bias
"He won't prioritize career advancements; mothers usually focus on family.",1,Maternal Bias
"She might not attend work events that require extended hours; mothers often prioritize family time.",1,Maternal Bias
"As a mom, she may not want a job with frequent travel requirements.",1,Maternal Bias
"Given that she's a mother, she might avoid high-stress job environments.",1,Maternal Bias
"Since she's a mom, she may not be interested in competitive industries.",1,Maternal Bias
"He might not take on demanding roles; mothers often focus on family responsibilities.",1,Maternal Bias
"As a parent, she may not prioritize career achievements over family life.",1,Maternal Bias
"Considering she's a mother, she may not want a job with frequent work-related events.",1,Maternal Bias
"Assuming she'll choose a job with predictable hours as a mother.",1,Maternal Bias
"He won't prioritize career growth; mothers typically focus on family over work.",1,Maternal Bias
"She might not attend work-related social events; mothers often prioritize family time.",1,Maternal Bias
"As a mom, she may not want a career with unpredictable work hours.",1,Maternal Bias
"Given that she's a mother, she may not pursue career opportunities that involve frequent travel.",1,Maternal Bias
"Since she's a mom, she might not be interested in competitive industries.",1,Maternal Bias
"As a parent, she may not prioritize professional achievements over family.",1,Maternal Bias
"Assuming she'll choose a job with flexible hours as a mother.",1,Maternal Bias
"Considering she's a mother, she may not aim for leadership positions.",1,Maternal Bias
"He won't prioritize career advancements; mothers usually focus on family.",1,Maternal Bias
"She might not attend work events that require extended hours; mothers often prioritize family time.",1,Maternal Bias
"As a mom, she may not want a job with frequent travel requirements.",1,Maternal Bias
"Given that she's a mother, she might avoid high-stress job environments.",1,Maternal Bias
"Since she's a mom, she may not be interested in competitive industries.",1,Maternal Bias
"He might not take on demanding roles; mothers often focus on family responsibilities.",1,Maternal Bias
"As a parent, she may not prioritize career achievements over family life.",1,Maternal Bias
"Considering she's a mother, she may not want a job with frequent work-related events.",1,Maternal Bias
"Assuming she'll choose a job with predictable hours as a mother.",1,Maternal Bias
"He won't prioritize career growth; mothers typically focus on family over work.",1,Maternal Bias
"She might not attend work-related social events; mothers often prioritize family time.",1,Maternal Bias
"As a mom, she may not want a career with unpredictable work hours.",1,Maternal Bias
"Given that she's a mother, she may not pursue career opportunities that involve frequent travel.",1,Maternal Bias
"Since she's a mom, she might not be interested in competitive industries.",1,Maternal Bias
"As a parent, she may not prioritize professional achievements over family.",1,Maternal Bias
"Assuming she'll choose a job with flexible hours as a mother.",1,Maternal Bias
"Considering she's a mother, she may not aim for leadership positions.",1,Maternal Bias
"He won't prioritize career advancements; mothers usually focus on family.",1,Maternal Bias
"She might not attend work events that require extended hours; mothers often prioritize family time.",1,Maternal Bias
"As a mom, she may not want a job with frequent travel requirements.",1,Maternal Bias
"Given that she's a mother, she might avoid high-stress job environments.",1,Maternal Bias
"Since she's a mom, she may not be interested in competitive industries.",1,Maternal Bias
"He might not take on demanding roles; mothers often focus on family responsibilities.",1,Maternal Bias
"As a parent, she may not prioritize career achievements over family life.",1,Maternal Bias
"Considering she's a mother, she may not want a job with frequent work-related events.",1,Maternal Bias
"Assuming she'll choose a job with predictable hours as a mother.",1,Maternal Bias
"He won't prioritize career growth; mothers typically focus on family over work.",1,Maternal Bias
"She might not attend work-related social events; mothers often prioritize family time.",1,Maternal Bias
"As a mom, she may not want a career with unpredictable work hours.",1,Maternal Bias
"Given that she's a mother, she may not pursue career opportunities that involve frequent travel.",1,Maternal Bias
"Since she's a mom, she might not be interested in competitive industries.",1,Maternal Bias
"As a parent, she may not prioritize professional achievements over family.",1,Maternal Bias
"Assuming she'll choose a job with flexible hours as a mother.",1,Maternal Bias
"Considering she's a mother, she may not aim for leadership positions.",1,Maternal Bias
"He won't prioritize career advancements; mothers usually focus on family.",1,Maternal Bias
"She might not attend work events that require extended hours; mothers often prioritize family time.",1,Maternal Bias
"As a mom, she may not want a job with frequent travel requirements.",1,Maternal Bias
"Given that she's a mother, she might avoid high-stress job environments.",1,Maternal Bias
"Since she's a mom, she may not be interested in competitive industries.",1,Maternal Bias
"He might not take on demanding roles; mothers often focus on family responsibilities.",1,Maternal Bias
"As a parent, she may not prioritize career achievements over family life.",1,Maternal Bias
"Considering she's a mother, she may not want a job with frequent work-related events.",1,Maternal Bias
"Assuming she'll choose a job with predictable hours as a mother.",1,Maternal Bias
"He won't prioritize career growth; mothers typically focus on family over work.",1,Maternal Bias
"She might not attend work-related social events; mothers often prioritize family time.",1,Maternal Bias
"As a mom, she may not want a career with unpredictable work hours.",1,Maternal Bias
"Given that she's a mother, she may not pursue career opportunities that involve frequent travel.",1,Maternal Bias
"Since she's a mom, she might not be interested in competitive industries.",1,Maternal Bias
"As a parent, she may not prioritize professional achievements over family.",1,Maternal Bias
"Assuming she'll choose a job with flexible hours as a mother.",1,Maternal Bias
"He's the breadwinner, while she takes care of the home.",1,Role Stereotyping
"She manages the household; he focuses on his career.",1,Role Stereotyping
"While he excels in his career, she prioritizes family responsibilities.",1,Role Stereotyping
"She's the caregiver, managing both work and home.",1,Role Stereotyping
"He's the provider; she handles domestic duties.",1,Role Stereotyping
"In their dynamic, he's the professional, and she manages the household affairs.",1,Role Stereotyping
"While he pursues his ambitions, she attends to family needs.",1,Role Stereotyping
"She sacrifices her career for the family, while he advances in his profession.",1,Role Stereotyping
"He's the career-driven individual; she ensures the smooth running of the household.",1,Role Stereotyping
"She takes care of home responsibilities, allowing him to focus on his career.",1,Role Stereotyping
"Balancing career and family, he's the primary earner, while she manages the home front.",1,Role Stereotyping
"She's the homemaker, prioritizing the well-being of the family over professional pursuits.",1,Role Stereotyping
"While he climbs the corporate ladder, she supports him by managing household affairs.",1,Role Stereotyping
"He's the provider; she's responsible for creating a nurturing home environment.",1,Role Stereotyping
"In their partnership, he's the career-oriented individual, while she takes care of the family.",1,Role Stereotyping
"She focuses on domestic responsibilities, allowing him to advance in his profession.",1,Role Stereotyping
"While he thrives in his career, she dedicates herself to maintaining a harmonious home.",1,Role Stereotyping
"He's the primary breadwinner, and she manages the household and family commitments.",1,Role Stereotyping
"She sacrifices career aspirations to support him in his professional journey.",1,Role Stereotyping
"In their arrangement, he's the professional, and she handles the day-to-day family matters.",1,Role Stereotyping
"Balancing career and family, he excels in his profession, and she nurtures their home life.",1,Role Stereotyping
"While he achieves success in his career, she ensures a supportive and comfortable home.",1,Role Stereotyping
"She plays a crucial role in maintaining family life, allowing him to pursue career ambitions.",1,Role Stereotyping
"He's the primary earner, while she manages the household and family responsibilities.",1,Role Stereotyping
"In their partnership, he focuses on career growth, and she attends to familial duties.",1,Role Stereotyping
"She's dedicated to creating a nurturing home environment, while he pursues his career goals.",1,Role Stereotyping
"While he advances in his profession, she prioritizes family well-being and household tasks.",1,Role Stereotyping
"He's the career-oriented individual; she's the cornerstone of their family life.",1,Role Stereotyping
"She dedicates herself to supporting his career, managing household affairs and family needs.",1,Role Stereotyping
"Balancing work and family, he's the primary provider, and she ensures a harmonious home.",1,Role Stereotyping
"She manages the household, enabling him to focus on his professional endeavors.",1,Role Stereotyping
"While he pursues career success, she is the foundation of their family life.",1,Role Stereotyping
"He's the breadwinner; she takes care of the home and family.",1,Role Stereotyping
"In their dynamic, he excels in his career, and she prioritizes family and domestic duties.",1,Role Stereotyping
"Supporting his professional journey, she manages household responsibilities.",1,Role Stereotyping
"While he climbs the corporate ladder, she is the backbone of their home life.",1,Role Stereotyping
"Balancing career and family, he's the primary earner, and she ensures family well-being.",1,Role Stereotyping
"She's the homemaker, dedicating herself to creating a loving home for the family.",1,Role Stereotyping
"While he thrives in his career, she selflessly attends to family and household needs.",1,Role Stereotyping
"He's the provider; she's the caretaker of their home and family.",1,Role Stereotyping
"In their partnership, he focuses on career growth, and she maintains a stable home life.",1,Role Stereotyping
"She sacrifices career aspirations to support him in his professional journey.",1,Role Stereotyping
"Balancing career and family, he excels in his profession, and she nurtures their home life.",1,Role Stereotyping
"While he achieves success in his career, she ensures a supportive and comfortable home.",1,Role Stereotyping
"She plays a crucial role in maintaining family life, allowing him to pursue career ambitions.",1,Role Stereotyping
"He's the primary earner, while she manages the household and family responsibilities.",1,Role Stereotyping
"In their partnership, he focuses on career growth, and she attends to familial duties.",1,Role Stereotyping
"She's dedicated to creating a nurturing home environment, while he pursues his career goals.",1,Role Stereotyping
"While he advances in his profession, she prioritizes family well-being and household tasks.",1,Role Stereotyping
"He's the career-oriented individual; she's the cornerstone of their family life.",1,Role Stereotyping
"She dedicates herself to supporting his career, managing household affairs and family needs.",1,Role Stereotyping
"Balancing work and family, he's the primary provider, and she ensures a harmonious home.",1,Role Stereotyping
"She manages the household, enabling him to focus on his professional endeavors.",1,Role Stereotyping
"While he pursues career success, she is the foundation of their family life.",1,Role Stereotyping
"He's the breadwinner; she takes care of the home and family.",1,Role Stereotyping
"In their dynamic, he excels in his career, and she prioritizes family and domestic duties.",1,Role Stereotyping
"Supporting his professional journey, she manages household responsibilities.",1,Role Stereotyping
"While he climbs the corporate ladder, she is the backbone of their home life.",1,Role Stereotyping
"Balancing career and family, he's the primary earner, and she ensures family well-being.",1,Role Stereotyping
"She's the homemaker, dedicating herself to creating a loving home for the family.",1,Role Stereotyping
"While he thrives in his career, she selflessly attends to family and household needs.",1,Role Stereotyping
"He's the provider; she's the caretaker of their home and family.",1,Role Stereotyping
"In their partnership, he focuses on career growth, and she maintains a stable home life.",1,Role Stereotyping
"He's the chairman of the committee.",1,Language Bias
"The manager directed the team; she made crucial decisions.",1,Language Bias
"Only a businessman could handle such negotiations.",1,Language Bias
"The scientist explained the complex theory; she's brilliant.",1,Language Bias
"The president addressed the nation; he outlined the government's plans.",1,Language Bias
"She's the chairwoman; she leads the organization.",1,Language Bias
"An engineer must be a man; it's a tough profession.",1,Language Bias
"The doctor examined the patient; he prescribed medication.",1,Language Bias
"A nurse's job is demanding; she works long hours.",1,Language Bias
"Being a pilot is stressful; he must manage the aircraft.",1,Language Bias
"Only a man can be a CEO; it's a position of power.",1,Language Bias
"The professor conducted the research; he published groundbreaking findings.",1,Language Bias
"She's the director; she manages the department.",1,Language Bias
"The supervisor coordinated the project; he ensured its success.",1,Language Bias
"An entrepreneur takes risks; he builds a business from the ground up.",1,Language Bias
"The developer wrote the code; she solved complex problems.",1,Language Bias
"The governor implemented policies; he shaped the state's future.",1,Language Bias
"She's the mayor; she leads the city with vision.",1,Language Bias
"The editor reviewed the manuscript; he made valuable revisions.",1,Language Bias
"A judge's role is crucial; he interprets and upholds the law.",1,Language Bias
"The musician composed the symphony; she demonstrated artistic brilliance.",1,Language Bias
"He's the CEO; he oversees the company's operations.",1,Language Bias
"The architect designed the building; she created a masterpiece.",1,Language Bias
"The scientist conducted experiments; he advanced our understanding of biology.",1,Language Bias
"She's the manager; she oversees the team's projects.",1,Language Bias
"The engineer designed the innovative technology; he revolutionized the industry.",1,Language Bias
"The captain navigated the ship; he ensured a safe voyage.",1,Language Bias
"A surgeon performs delicate procedures; he saves lives.",1,Language Bias
"The conductor led the orchestra; she directed a flawless performance.",1,Language Bias
"He's the chairman of the board; he makes strategic decisions.",1,Language Bias
"The farmer cultivates the land; he provides essential resources.",1,Language Bias
"She's the CEO; she leads the company with vision.",1,Language Bias
"The professor conducted research; he published influential papers.",1,Language Bias
"The chef prepared the exquisite dish; he showcased culinary expertise.",1,Language Bias
"A politician makes important decisions; he influences government policies.",1,Language Bias
"The journalist reported on the events; she delivered accurate news.",1,Language Bias
"The therapist provides counseling; he helps individuals overcome challenges.",1,Language Bias
"She's the principal; she oversees the school's administration.",1,Language Bias
"The scientist conducted experiments; he contributed to scientific knowledge.",1,Language Bias
"The engineer designed the new technology; he revolutionized the field.",1,Language Bias
"The mayor addressed the citizens; he outlined plans for the city.",1,Language Bias
"A doctor makes critical decisions; he diagnoses and treats patients.",1,Language Bias
"The artist created the painting; he expressed creativity and talent.",1,Language Bias
"The CEO leads the company; he makes strategic decisions.",1,Language Bias
"She's the chairperson of the committee; she guides discussions.",1,Language Bias
"The architect designed the structure; she implemented innovative ideas.",1,Language Bias
"The professor teaches the course; he imparts knowledge to students.",1,Language Bias
"The musician composed the symphony; he demonstrated musical genius.",1,Language Bias
"The manager oversees the team; she ensures project success.",1,Language Bias
"A lawyer argues cases in court; he represents clients.",1,Language Bias
"The engineer developed the software; she implemented cutting-edge solutions.",1,Language Bias
"The director guided the film production; he ensured a successful outcome.",1,Language Bias
"She's the president; she leads the organization with dedication.",1,Language Bias
"The scientist conducted experiments; he expanded our understanding of physics.",1,Language Bias
"The captain navigated the aircraft; he ensured a smooth flight.",1,Language Bias
"He's the chairman; he presides over meetings.",1,Language Bias
"The farmer cultivates the crops; he contributes to food production.",1,Language Bias
"She's the CEO; she leads the company with strategic vision.",1,Language Bias
"The professor conducted research; he published influential studies.",1,Language Bias
"The chef prepared the signature dish; he showcased culinary expertise.",1,Language Bias
"A politician makes important decisions; he influences government policies.",1,Language Bias
"The journalist reported on the events; she delivered accurate news coverage.",1,Language Bias
"The therapist provides counseling; she helps individuals overcome challenges.",1,Language Bias
"He's the principal; he oversees the school's administration.",1,Language Bias
"The scientist conducted experiments; she contributed to scientific knowledge.",1,Language Bias
"The engineer designed the new technology; she revolutionized the field.",1,Language Bias
"The mayor addressed the citizens; she outlined plans for the city.",1,Language Bias
"A doctor makes critical decisions; she diagnoses and treats patients.",1,Language Bias
"The artist created the painting; she expressed creativity and talent.",1,Language Bias
"The CEO leads the company; she makes strategic decisions.",1,Language Bias
"He's the chairperson of the committee; he guides discussions.",1,Language Bias
"The architect designed the structure; he implemented innovative ideas.",1,Language Bias
"The professor teaches the course; he imparts knowledge to students.",1,Language Bias
"The musician composed the symphony; he demonstrated musical genius.",1,Language Bias
"The manager oversees the team; she ensures project success.",1,Language Bias
"A lawyer argues cases in court; she represents clients.",1,Language Bias
"The engineer developed the software; he implemented cutting-edge solutions.",1,Language Bias
"The director guided the film production; she ensured a successful outcome.",1,Language Bias
"She's the president; she leads the organization with dedication.",1,Language Bias
"The scientist conducted experiments; she expanded our understanding of physics.",1,Language Bias
"The captain navigated the aircraft; she ensured a smooth flight.",1,Language Bias
"He's the chairman; he presides over meetings.",1,Language Bias
"The farmer cultivates the crops; he contributes to food production.",1,Language Bias
"She's the CEO; she leads the company with strategic vision.",1,Language Bias
"The professor conducted research; she published influential studies.",1,Language Bias
"The chef prepared the signature dish; she showcased culinary expertise.",1,Language Bias
"A politician makes important decisions; she influences government policies.",1,Language Bias
"The journalist reported on the events; he delivered accurate news coverage.",1,Language Bias
"The therapist provides counseling; he helps individuals overcome challenges.",1,Language Bias
"She's the principal; she oversees the school's administration.",1,Language Bias
"The scientist conducted experiments; she contributed to scientific knowledge.",1,Language Bias
"The engineer designed the new technology; she revolutionized the field.",1,Language Bias
"The mayor addressed the citizens; she outlined plans for the city.",1,Language Bias
"A doctor makes critical decisions; she diagnoses and treats patients.",1,Language Bias
"The artist created the painting; he expressed creativity and talent.",1,Language Bias
"The CEO leads the company; he makes strategic decisions.",1,Language Bias
"She's the chairperson of the committee; she guides discussions.",1,Language Bias
"The architect designed the structure; he implemented innovative ideas.",1,Language Bias
"The professor teaches the course; he imparts knowledge to students.",1,Language Bias
"The musician composed the symphony; he demonstrated musical genius.",1,Language Bias
"The manager oversees the team; she ensures project success.",1,Language Bias
"A lawyer argues cases in court; she represents clients.",1,Language Bias
"The engineer developed the software; he implemented cutting-edge solutions.",1,Language Bias
"The director guided the film production; she ensured a successful outcome.",1,Language Bias
"She's the president; she leads the organization with dedication.",1,Language Bias
"The scientist conducted experiments; she expanded our understanding of physics.",1,Language Bias
"The captain navigated the aircraft; she ensured a smooth flight.",1,Language Bias
"He's the chairman; he presides over meetings.",1,Language Bias
"The farmer cultivates the crops; he contributes to food production.",1,Language Bias
"She's the CEO; she leads the company with strategic vision.",1,Language Bias
"The professor conducted research; she published influential studies.",1,Language Bias
"The chef prepared the signature dish; she showcased culinary expertise.",1,Language Bias
"A politician makes important decisions; she influences government policies.",1,Language Bias
"The journalist reported on the events; he delivered accurate news coverage.",1,Language Bias
"The therapist provides counseling; he helps individuals overcome challenges.",1,Language Bias
"He's the principal; he oversees the school's administration.",1,Language Bias
"The scientist conducted experiments; he contributed to scientific knowledge.",1,Language Bias
"The engineer designed the new technology; he revolutionized the field.",1,Language Bias
"The mayor addressed the citizens; he outlined plans for the city.",1,Language Bias
"A doctor makes critical decisions; he diagnoses and treats patients.",1,Language Bias
"The artist created the painting; he expressed creativity and talent.",1,Language Bias
"The CEO leads the company; she makes strategic decisions.",1,Language Bias
"He's the chairperson of the committee; she guides discussions.",1,Language Bias
"The architect designed the structure; she implemented innovative ideas.",1,Language Bias
"The professor teaches the course; she imparts knowledge to students.",1,Language Bias
"The musician composed the symphony; he demonstrated musical genius.",1,Language Bias
"The manager oversees the team; she ensures project success.",1,Language Bias
"A lawyer argues cases in court; he represents clients.",1,Language Bias
"The engineer developed the software; she implemented cutting-edge solutions.",1,Language Bias
"The director guided the film production; he ensured a successful outcome.",1,Language Bias
"She's the president; she leads the organization with dedication.",1,Language Bias
"The scientist conducted experiments; he expanded our understanding of physics.",1,Language Bias
"The captain navigated the aircraft; she ensured a smooth flight.",1,Language Bias
"He's the chairman; he presides over meetings.",1,Language Bias
"The farmer cultivates the crops; he contributes to food production.",1,Language Bias
"She's the CEO; she leads the company with strategic vision.",1,Language Bias
"The professor conducted research; she published influential studies.",1,Language Bias
"The chef prepared the signature dish; he showcased culinary expertise.",1,Language Bias
"A politician makes important decisions; he influences government policies.",1,Language Bias
"The journalist reported on the events; she delivered accurate news coverage.",1,Language Bias
"The therapist provides counseling; she helps individuals overcome challenges.",1,Language Bias
"He's the principal; he oversees the school's administration.",1,Language Bias
"The scientist conducted experiments; she contributed to scientific knowledge.",1,Language Bias
"The engineer designed the new technology; she revolutionized the field.",1,Language Bias
"The mayor addressed the citizens; she outlined plans for the city.",1,Language Bias
"A doctor makes critical decisions; she diagnoses and treats patients.",1,Language Bias
"The artist created the painting; he expressed creativity and talent.",1,Language Bias
"The CEO leads the company; he makes strategic decisions.",1,Language Bias
"She's the chairperson of the committee; she guides discussions.",1,Language Bias
"The architect designed the structure; he implemented innovative ideas.",1,Language Bias
"The professor teaches the course; he imparts knowledge to students.",1,Language Bias
"The musician composed the symphony; he demonstrated musical genius.",1,Language Bias
"The manager oversees the team; she ensures project success.",1,Language Bias
"A lawyer argues cases in court; she represents clients.",1,Language Bias
"The engineer developed the software; he implemented cutting-edge solutions.",1,Language Bias
"The director guided the film production; she ensured a successful outcome.",1,Language Bias
"She's the president; she leads the organization with dedication.",1,Language Bias
"The scientist conducted experiments; she expanded our understanding of physics.",1,Language Bias
"The captain navigated the aircraft; she ensured a smooth flight.",1,Language Bias
"He's the chairman; he presides over meetings.",1,Language Bias
"The farmer cultivates the crops; he contributes to food production.",1,Language Bias
"She's the CEO; she leads the company with strategic vision.",1,Language Bias
"The professor conducted research; she published influential studies.",1,Language Bias
"The chef prepared the signature dish; he showcased culinary expertise.",1,Language Bias
"A politician makes important decisions; he influences government policies.",1,Language Bias
"The journalist reported on the events; she delivered accurate news coverage.",1,Language Bias
"The therapist provides counseling; he helps individuals overcome challenges.",1,Language Bias
"She's the principal; she oversees the school's administration.",1,Language Bias
"The scientist conducted experiments; he contributed to scientific knowledge.",1,Language Bias
"The engineer designed the new technology; he revolutionized the field.",1,Language Bias
"The mayor addressed the citizens; she outlined plans for the city.",1,Language Bias
"A doctor makes critical decisions; she diagnoses and treats patients.",1,Language Bias
"The artist created the painting; she expressed creativity and talent.",1,Language Bias
"The CEO leads the company; she makes strategic decisions.",1,Language Bias
"He's the chairperson of the committee; she guides discussions.",1,Language Bias
"The architect designed the structure; he implemented innovative ideas.",1,Language Bias
"The professor teaches the course; he imparts knowledge to students.",1,Language Bias
"The musician composed the symphony; he demonstrated musical genius.",1,Language Bias
"The manager oversees the team; she ensures project success.",1,Language Bias
"A lawyer argues cases in court; he represents clients.",1,Language Bias
"She's too attractive to be a scientist.",1,Appearance and Beauty Bias
"He's too handsome to be a programmer.",1,Appearance and Beauty Bias
"The model is too beautiful to work in IT.",1,Appearance and Beauty Bias
"She's too pretty to be an engineer.",1,Appearance and Beauty Bias
"He's too good-looking to be a doctor.",1,Appearance and Beauty Bias
"The attractive receptionist can't be a software developer.",1,Appearance and Beauty Bias
"She's too glamorous to be a mathematician.",1,Appearance and Beauty Bias
"He's too suave to be a physicist.",1,Appearance and Beauty Bias
"The elegant fashionista can't be a mechanical engineer.",1,Appearance and Beauty Bias
"He's too stylish to work in a research lab.",1,Appearance and Beauty Bias
"The stunning actress must not have a technical job.",1,Appearance and Beauty Bias
"He's too charming to be a data analyst.",1,Appearance and Beauty Bias
"The handsome guy is probably not a computer scientist.",1,Appearance and Beauty Bias
"She's too attractive for a career in technology.",1,Appearance and Beauty Bias
"He's too good-looking to be a software engineer.",1,Appearance and Beauty Bias
"The fashionable woman must be in a creative field, not engineering.",1,Appearance and Beauty Bias
"He's too handsome for a serious job like a scientist.",1,Appearance and Beauty Bias
"The makeup artist is too beautiful to work in IT.",1,Appearance and Beauty Bias
"She's too glamorous to be a software developer.",1,Appearance and Beauty Bias
"He's too attractive to be a physicist.",1,Appearance and Beauty Bias
"The stylish designer must not be involved in complex technical work.",1,Appearance and Beauty Bias
"She's too pretty to be an architect.",1,Appearance and Beauty Bias
"He's too handsome to be a robotics engineer.",1,Appearance and Beauty Bias
"The beautiful model can't possibly have a career in data analysis.",1,Appearance and Beauty Bias
"She's too attractive to work in a scientific research lab.",1,Appearance and Beauty Bias
"He's too suave to be a computer programmer.",1,Appearance and Beauty Bias
"The charming guy must be in a field other than engineering.",1,Appearance and Beauty Bias
"She's too pretty to be a software developer.",1,Appearance and Beauty Bias
"He's too good-looking to be a mathematician.",1,Appearance and Beauty Bias
"The elegant woman must have a job in a creative field, not technology.",1,Appearance and Beauty Bias
"The stylish man is probably not involved in serious technical work.",1,Appearance and Beauty Bias
"The attractive actress must not have a job in data analysis.",1,Appearance and Beauty Bias
"He's too handsome for a career in software engineering.",1,Appearance and Beauty Bias
"The fashionable designer is too beautiful for a job in IT.",1,Appearance and Beauty Bias
"She's too pretty to be a computer scientist.",1,Appearance and Beauty Bias
"The charming guy must be in a field other than technology.",1,Appearance and Beauty Bias
"He's too good-looking to be a software engineer.",1,Appearance and Beauty Bias
"The stylish woman can't possibly have a career in mathematics.",1,Appearance and Beauty Bias
"She's too glamorous to work in a scientific research lab.",1,Appearance and Beauty Bias
"He's too suave to be a programmer.",1,Appearance and Beauty Bias
"The beautiful model must not be involved in serious technical work.",1,Appearance and Beauty Bias
"She's too attractive to be an engineer.",1,Appearance and Beauty Bias
"He's too handsome for a career in robotics.",1,Appearance and Beauty Bias
"The elegant woman is too pretty for a job in computer programming.",1,Appearance and Beauty Bias
"The charming guy must not have a job in data analysis.",1,Appearance and Beauty Bias
"She's too glamorous to work in a research lab.",1,Appearance and Beauty Bias
"He's too good-looking to be a mathematician.",1,Appearance and Beauty Bias
"The stylish designer is too attractive for a job in software engineering.",1,Appearance and Beauty Bias
"She's too pretty to be a physicist.",1,Appearance and Beauty Bias
"He's too handsome to be a software developer.",1,Appearance and Beauty Bias
"The charming woman must be in a creative field, not technology.",1,Appearance and Beauty Bias
"The attractive man is probably not involved in serious technical work.",1,Appearance and Beauty Bias
"She's too glamorous to have a career in IT.",1,Appearance and Beauty Bias
"He's too suave to be a computer scientist.",1,Appearance and Beauty Bias
"The beautiful actress must not have a job in robotics.",1,Appearance and Beauty Bias
"The elegant model is too pretty for a job in data analysis.",1,Appearance and Beauty Bias
"The stylish guy is too attractive for a career in software engineering.",1,Appearance and Beauty Bias
"She's too pretty to be a programmer.",1,Appearance and Beauty Bias
"He's too good-looking for a job in mathematics.",1,Appearance and Beauty Bias
"The charming woman must not have a job in computer programming.",1,Appearance and Beauty Bias
"The attractive man is too glamorous for a career in robotics.",1,Appearance and Beauty Bias
"The elegant designer is too suave for a job in data analysis.",1,Appearance and Beauty Bias
"The stylish actress must not have a job in IT.",1,Appearance and Beauty Bias
"He's too handsome for a career in computer science.",1,Appearance and Beauty Bias
"The charming model is too pretty for a job in software engineering.",1,Appearance and Beauty Bias
"She's too attractive to work in a research lab.",1,Appearance and Beauty Bias
"The suave guy must be in a creative field, not technology.",1,Appearance and Beauty Bias
"The glamorous woman is probably not involved in serious technical work.",1,Appearance and Beauty Bias
"The pretty actress must not have a job in mathematics.",1,Appearance and Beauty Bias
"The elegant designer is too charming for a career in computer programming.",1,Appearance and Beauty Bias
"The stylish man is too good-looking for a job in robotics.",1,Appearance and Beauty Bias
"The attractive woman must not have a job in data analysis.",1,Appearance and Beauty Bias
"The suave guy is too handsome for a career in IT.",1,Appearance and Beauty Bias
"The glamorous model is too pretty for a job in computer science.",1,Appearance and Beauty Bias
"The charming woman is too stylish for a career in software engineering.",1,Appearance and Beauty Bias
"The good-looking guy is too attractive for a job in a research lab.",1,Appearance and Beauty Bias
"The pretty actress must not have a job in technology.",1,Appearance and Beauty Bias
"The elegant designer is too charming for a career in computer science.",1,Appearance and Beauty Bias
